"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"ta114",26992,31162,500528,179547,26545,257182,3252,814073411,3,2.50377
"ta115",26741,27387,520618,168936,26408,314952,3813,3596350483,3,2.49069
"ta116",27056,26954,498281,163882,26522,233215,2902,652137401,3,2.51715
"ta117",26731,30346,469990,161793,26457,140000,1836,2201646490,3,2.48488
"ta118",26968,31390,581201,188818,26682,477361,4952,274433116,3,2.51214
"ta119",26555,27186,570850,184920,26115,416486,4399,3664167870,3,2.4806
"ta120",26818,31188,596474,207517,26543,259301,2745,3389853094,3,2.49758
"ta001",1290,3,249239,189245,1278,1776,0,844618583,3,2.5765
"ta002",1366,1,220807,159756,1358,125,0,920318507,3,2.598
"ta003",1098,1,228088,95902,1073,1770,0,1613059767,3,2.3025
"ta004",1311,1,248050,114964,1293,404,0,3478418931,3,2.818
"ta005",1261,1,231563,153568,1235,2487,0,1869999270,3,2.484
"ta006",1228,1,219312,92096,1193,11897,0,598061550,3,2.5275
"ta007",1273,1,210491,142757,1239,41883,2,1574145523,3,2.474
"ta008",1211,1,232214,111373,1199,6940,0,202521322,3,2.6155
"ta009",1273,1,242611,99485,1210,4785,0,1772934561,3,2.621
"ta010",1151,2,221857,104395,1103,150,0,386121551,3,2.3885
"ta011",1622,2,471081,166066,1554,94334,12,3618941549,3,2.58225
"ta012",1721,2,468672,181723,1644,368674,47,602730870,3,2.7145
"ta013",1558,2,392573,122233,1468,199756,30,1093300395,3,2.469
"ta014",1386,2,455431,185566,1365,199636,26,1342695858,3,2.2325
"ta015",1497,2,472159,177251,1395,6200,0,2818637197,3,2.36475
"ta016",1444,2,476374,154846,1369,6871,0,876214200,3,2.285
"ta017",1506,2,460278,183112,1427,227650,29,2693999715,3,2.34425
"ta018",1593,2,464501,174174,1527,321,0,2109577622,3,2.4755
"ta019",1621,2,375673,182626,1586,21708,3,2102431324,3,2.5085
"ta020",1648,2,491466,156751,1559,56611,7,1988754604,3,2.632
"ta021",2352,5,820540,282091,2239,95116,29,4119420851,3,2.53412
"ta022",2155,5,748762,285971,2053,677463,216,1032025818,3,2.3465
"ta023",2386,5,720879,270424,2240,120421,38,4057426724,3,2.54038
"ta024",2259,5,870774,382112,2175,683606,188,1420170002,3,2.46675
"ta025",2360,5,846561,254728,2244,123898,35,3250481265,3,2.55837
"ta026",2278,5,784667,190332,2161,234987,72,2673855017,3,2.46263
"ta027",2391,5,756879,240769,2220,279489,87,3569578329,3,2.512
"ta028",2286,5,778157,278554,2162,9786,3,2179024460,3,2.46962
"ta029",2353,5,685905,214063,2184,225392,76,987982793,3,2.52513
"ta030",2248,5,843624,246278,2122,102067,29,2013958963,3,2.41725
"ta031",2729,4,228218,158812,2724,2743,0,2264445066,3,2.4154
"ta032",2848,4,233001,129775,2834,58477,9,4077862897,3,2.6098
"ta033",2628,4,220307,110208,2612,1426,0,775255014,3,2.398
"ta034",2767,4,226661,118876,2751,1,0,3072305098,3,2.5646
"ta035",2854,4,229316,149842,2853,206853,34,1292534482,3,2.5452
"ta036",2827,4,217140,110407,2825,3,0,629946208,3,2.6008
"ta037",2747,4,224464,101017,2716,12445,2,2382599039,3,2.4648
"ta038",2691,4,223044,115174,2683,1,0,1321853103,3,2.4786
"ta039",2571,4,228501,109482,2545,30825,5,2339509725,3,2.3244
"ta040",2776,4,226219,145970,2776,0,0,1415960262,3,2.5636
"ta041",3109,11,460250,165619,3010,3739,1,4121367058,3,2.51
"ta042",3012,12,431751,146890,2880,286163,99,2178837421,3,2.4236
"ta043",2961,12,473064,182371,2854,129217,42,4129977942,3,2.4007
"ta044",3169,12,469508,177424,3061,26134,8,2111453565,3,2.5281
"ta045",3155,12,418291,130576,2993,45479,15,1408220627,3,2.5391
"ta046",3166,12,462026,140617,2991,30688,10,1195318891,3,2.509
"ta047",3222,12,467140,179531,3096,399385,127,996853614,3,2.5184
"ta048",3147,12,466359,162116,3022,335750,108,4280994547,3,2.4535
"ta049",3043,12,487628,163596,2882,21277,6,1501689189,3,2.4332
"ta050",3204,12,472655,165337,3078,38407,12,2777818230,3,2.5446
"ta051",4068,40,837031,238125,3820,264918,190,584042102,3,2.59555
"ta052",3928,42,780358,316225,3688,635985,489,1045642938,3,2.46355
"ta053",3859,44,908828,337141,3637,28883,18,834259026,3,2.42175
"ta054",3902,43,907980,329693,3701,855766,564,674979042,3,2.465
"ta055",3794,41,868937,327558,3569,666991,462,2306921501,3,2.45705
"ta056",3866,41,896132,373971,3669,860512,575,1125150208,3,2.4515
"ta057",3891,41,861616,311183,3668,650551,462,2824006685,3,2.48365
"ta058",3902,40,881095,291803,3674,313144,214,1856413258,3,2.46245
"ta059",3909,43,862151,305796,3716,218867,150,668086469,3,2.49715
"ta060",4000,41,966956,333159,3733,700562,426,2191276097,3,2.5301
"ta061",5504,23,192102,139591,5493,734,0,2604773089,3,2.5797
"ta062",5291,23,195591,108560,5257,29803,12,750555756,3,2.5182
"ta063",5193,23,195209,93280,5173,192796,74,3896012397,3,2.4735
"ta064",5025,23,188605,102246,4996,92470,36,1018352444,3,2.4028
"ta065",5255,23,196121,116162,5247,7150,2,628994637,3,2.5098
"ta066",5139,23,216496,150767,5135,9327,3,1899819388,3,2.451
"ta067",5245,21,183337,92015,5232,1716,0,2953696317,3,2.4749
"ta068",5101,23,190093,94547,5083,683,0,3848946190,3,2.4339
"ta069",5454,23,196082,128649,5442,18483,7,1385882097,3,2.5839
"ta070",5346,21,198676,109540,5318,4246,1,2179911014,3,2.5583
"ta071",5861,72,369913,141141,5774,72293,58,1109474667,3,2.59555
"ta072",5441,70,379748,134773,5352,236379,187,1655573895,3,2.42175
"ta073",5758,72,374480,171812,5670,279191,225,1662968658,3,2.50985
"ta074",5947,70,374773,128450,5784,123805,99,1784452672,3,2.6319
"ta075",5575,72,387436,128546,5469,274065,212,2240349443,3,2.48515
"ta076",5340,74,366407,138601,5295,261993,214,1675425797,3,2.37285
"ta077",5692,76,392752,196465,5585,236895,181,3143069779,3,2.4515
"ta078",5694,74,385584,134322,5624,8472,7,591334041,3,2.49255
"ta079",5965,71,378354,158517,5879,245414,191,3045251798,3,2.5698
"ta080",5865,76,344799,172319,5845,8531,7,4225168496,3,2.549
"ta081",6547,271,762357,243902,6233,191421,304,2116143537,3,2.46915
"ta082",6531,268,731932,252436,6232,311007,513,736137303,3,2.4962
"ta083",6573,258,723774,258802,6299,125406,207,2608021899,3,2.48018
"ta084",6534,267,712994,260228,6276,459207,774,1962396664,3,2.4637
"ta085",6629,265,791123,281731,6362,725093,1107,1469729940,3,2.48097
"ta086",6702,239,834342,286254,6407,244560,355,1711109723,3,2.4825
"ta087",6570,254,784918,283239,6289,415969,624,1432854617,3,2.50242
"ta088",6749,274,805529,252567,6441,558057,838,3298959637,3,2.54608
"ta089",6614,272,847030,281459,6285,828576,1171,3413971986,3,2.4991
"ta090",6652,266,763835,270245,6445,477964,760,3927808392,3,2.5166
"ta091",10940,474,333588,177080,10857,12416,20,134608241,3,2.5101
"ta092",10723,522,364187,118986,10501,312734,519,3390253537,3,2.48125
"ta093",11022,476,331473,142921,10926,108788,198,48311648,3,2.52895
"ta094",10920,535,314202,210962,10871,7386,13,665059712,3,2.50428
"ta095",10639,508,356633,127036,10499,64803,100,2608770739,3,2.49777
"ta096",10417,514,386674,153087,10331,202581,310,2073379021,3,2.43407
"ta097",10922,521,323127,173822,10864,6124,10,3209557316,3,2.55098
"ta098",10839,523,322169,128515,10753,223210,413,2125654024,3,2.52832
"ta099",10508,499,396098,152635,10419,3632,6,1271384210,3,2.48188
"ta100",10846,508,362410,152870,10685,8165,14,3871094942,3,2.50645
"ta101",11637,1697,706932,225915,11259,293950,1009,959047895,3,2.44782
"ta102",11660,1710,811802,261424,11292,571211,1699,2325461476,3,2.50224
"ta103",11724,1915,761835,266361,11399,711219,2247,3857843551,3,2.51273
"ta104",11752,1694,644709,226347,11354,239892,894,1604002225,3,2.50214
"ta105",11601,1978,738192,250916,11323,449028,1469,1509823980,3,2.47525
"ta106",11611,1809,775138,254429,11249,362142,1115,2051102082,3,2.50228
"ta107",11740,1749,647072,223100,11428,246490,923,2000413759,3,2.51782
"ta108",11831,1715,659655,220966,11453,481129,1748,138806363,3,2.49613
"ta109",11619,1895,675758,229272,11333,64608,238,534774798,3,2.49721
"ta110",11805,1947,806494,286613,11377,511808,1522,439425522,3,2.49582
