"name","seed","value"
"ta008",792889503,1206
"ta009",2417454346,1230
"ta010",1055516750,1108
"ta011",1981070234,1582
"ta012",1669143489,1659
"ta013",3692266167,1496
"ta014",1165714383,1378
"ta015",2369017775,1419
"ta016",1096239000,1397
"ta017",3656065298,1484
"ta018",2905985224,1538
"ta019",2639450580,1593
"ta020",3539745689,1591
"ta021",2608378853,2297
"ta022",65748276,2099
"ta023",2635406214,2326
"ta024",847038503,2223
"ta025",2492264846,2294
"ta026",4094955495,2229
"ta027",2513663797,2273
"ta028",622271140,2200
"ta029",2069603668,2237
"ta030",1873302505,2178
"ta031",2703924851,2724
"ta032",2697332863,2834
"ta033",325556654,2621
"ta034",2581149182,2751
"ta035",1551840788,2863
"ta036",3005178183,2829
"ta037",2504819291,2725
"ta038",203748301,2683
"ta039",1838467077,2554
"ta040",3604496602,2782
"ta041",3303295089,3039
"ta042",606513924,2892
"ta043",1848599513,2871
"ta044",1961185974,3063
"ta045",4156552261,2991
"ta046",3200332220,3006
"ta047",3132558680,3118
"ta048",1393762722,3042
"ta049",1919573783,2902
"ta050",3589164198,3091
"ta051",3243559749,3895
"ta052",3109896997,3746
"ta053",995800508,3667
"ta054",4190199331,3764
"ta055",1498352310,3645
"ta056",2850598122,3713
"ta057",924657315,3747
"ta058",1902185706,3756
"ta059",3805850318,3771
"ta060",208278790,3796
"ta061",1942386291,5493
"ta062",2959672611,5268
"ta063",2453324531,5175
"ta064",1480157492,5018
"ta065",1972794586,5250
"ta066",1201043920,5135
"ta067",3354832331,5246
"ta068",3989884890,5094
"ta069",379291041,5448
"ta070",1900641851,5324
"ta071",1414659848,5780
"ta072",2432909856,5349
"ta073",2954331008,5679
"ta074",3450741261,5826
"ta075",4103691122,5497
"ta076",716461095,5308
"ta077",860728381,5599
"ta078",2052747311,5636
"ta079",3058233566,5875
"ta080",1393284415,5848
"ta081",714931244,6279
"ta082",2886613939,6281
"ta083",4229461164,6359
"ta084",2439839509,6323
"ta085",2899465783,6398
"ta086",3240654027,6437
"ta087",1338103136,6337
"ta088",138112702,6480
"ta089",2299322001,6354
"ta090",3462415941,6505
"ta091",3126092866,10872
"ta092",435760847,10494
"ta093",3222736508,10923
"ta094",137566560,10889
"ta095",235662632,10537
"ta096",3381449562,10331
"ta097",1738243219,10860
"ta098",893231087,10734
"ta099",82106436,10438
"ta100",3471216776,10685
"ta101",3607104170,11299
"ta102",848612767,11366
"ta103",3905194071,11468
"ta104",2652647210,11445
"ta105",275876912,11339
"ta106",2276623680,11343
"ta107",1439551131,11460
"ta108",2974130503,11454
"ta109",3213288871,11350
"ta110",4253549382,11449
"ta111",278024341,26219
"ta112",3301273234,26741
"ta113",419999921,26483
"ta114",666493251,26562
"ta115",2534245650,26415
"ta116",4232917407,26563
"ta117",3396716452,26461
"ta118",2322917200,26701
"ta119",2212509021,26129
"ta120",781894990,26550
"ta001",3109871252,1278
"ta002",4126510756,1359
"ta003",1036738427,1081
"ta004",3103561386,1293
"ta005",2725591471,1235
"ta006",1081165092,1195
"ta007",2292360719,1239
"ta008",3014820301,1206
"ta009",2048742127,1230
"ta010",1933529081,1108
"ta011",4002773321,1585
"ta012",1214710458,1660
"ta013",1591270297,1496
"ta014",416371888,1378
"ta015",99607423,1419
"ta016",3366891842,1397
"ta017",1377910596,1484
"ta018",2561715238,1544
"ta019",3448716529,1593
"ta020",1690547942,1591
"ta021",3201072591,2297
"ta022",3332813320,2099
"ta023",1891459162,2328
"ta024",3732516986,2223
"ta025",2640139258,2294
"ta026",3659724326,2226
"ta027",73943708,2273
"ta028",1489548232,2200
"ta029",3644931307,2237
"ta030",2600317008,2178
"ta031",3941600679,2724
"ta032",2002679655,2836
"ta033",511193159,2621
"ta034",1932797212,2751
"ta035",2747137234,2863
"ta036",2446032432,2829
"ta037",2351575067,2725
"ta038",1965947980,2683
"ta039",314792736,2554
"ta040",1713031082,2782
"ta041",2537947717,3025
"ta042",3972466041,2903
"ta043",1978224161,2871
"ta044",1119032082,3064
"ta045",2198137779,2984
"ta046",828950987,3006
"ta047",340650372,3127
"ta048",219644270,3042
"ta049",940264507,2903
"ta050",3934131734,3089
"ta051",2539967067,3893
"ta052",2134236618,3735
"ta053",4193016307,3674
"ta054",1385466404,3749
"ta055",2637555874,3652
"ta056",770847520,3710
"ta057",604756310,3744
"ta058",502004429,3728
"ta059",2780426670,3784
"ta060",4057172099,3784
