"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"ta086",6702,267,37136,12554,6407,27367,44,1522686337,3,2.4825
"ta087",6570,258,36940,12325,6321,26918,43,1132455564,3,2.50242
"ta088",6749,272,39691,12149,6468,14445,22,2757248085,3,2.54608
"ta089",6614,271,38420,12713,6319,32206,50,1276891616,3,2.4991
"ta090",6652,264,36982,13701,6501,14532,23,3333429802,3,2.5166
"ta091",10940,529,32057,18401,10865,3588,7,1645811539,3,2.5101
"ta092",10723,515,33698,10695,10501,24738,43,3377889624,3,2.48125
"ta093",11022,535,36496,17265,10962,2630,5,3037557072,3,2.52895
"ta094",10920,479,31208,21004,10871,9602,18,229267730,3,2.50428
"ta095",10639,513,33347,11852,10514,7134,13,1472085204,3,2.49777
"ta096",10417,515,32172,13476,10356,2724,5,494357686,3,2.43407
"ta097",10922,526,31464,16212,10873,2700,5,2264396364,3,2.55098
"ta098",10839,524,31542,13251,10754,29675,56,2107720641,3,2.52832
"ta099",10508,505,34085,14355,10438,26112,46,4223451942,3,2.48188
"ta100",10846,526,31158,12888,10685,3155,6,253237482,3,2.50645
"ta101",11637,1902,31141,10545,11332,7342,29,2569358968,3,2.44782
"ta102",11660,1937,34752,11538,11353,32277,111,2053146090,3,2.50224
"ta103",11724,1930,32845,11144,11431,10941,42,906103862,3,2.51273
"ta104",11752,1909,31798,10785,11376,13465,52,2185156131,3,2.50214
"ta105",11601,1994,32128,11045,11381,20221,76,3747913012,3,2.47525
"ta106",11611,1885,33367,10885,11293,23531,85,2967776666,3,2.50228
"ta107",11740,1967,33066,11447,11443,30679,112,2758373254,3,2.51782
"ta108",11831,1734,38572,12413,11441,37843,117,723189595,3,2.49613
"ta109",11619,1714,31565,10724,11332,16940,64,178908983,3,2.49721
"ta110",11805,1988,34135,11797,11424,21069,75,1830422758,3,2.49582
"ta111",26632,31166,23831,7117,26258,19115,244,660774926,3,2.48145
"ta112",27263,30113,21896,6862,26790,21573,295,3033875962,3,2.524
"ta113",26859,29354,24066,8255,26541,19398,245,3526151653,3,2.49531
"ta114",26992,31146,20821,8140,26707,16971,250,1019669499,3,2.50377
"ta115",26741,30916,21737,7650,26503,21537,297,2630610325,3,2.49069
"ta116",27056,30415,21713,6708,26600,21225,294,721628266,3,2.51715
"ta117",26731,30499,21437,8192,26524,18075,261,981404436,3,2.48488
"ta118",26968,31401,23696,7303,26677,13388,192,2997784194,3,2.51214
"ta119",26555,30661,23435,7288,26180,20645,267,1744750011,3,2.4806
"ta120",26818,31330,25979,9148,26558,16264,206,2623544597,3,2.49758
"ta001",1290,3,45649,34685,1278,9397,0,2433195165,3,2.5765
"ta002",1366,1,40188,29107,1358,342,0,3690015010,3,2.598
"ta003",1098,1,40634,17321,1073,2009,0,2046892988,3,2.3025
"ta004",1311,1,42625,19666,1293,496,0,3238852010,3,2.818
"ta005",1261,1,42171,28002,1235,2331,0,1906057103,3,2.484
"ta006",1228,1,41011,17270,1193,6639,0,3933941624,3,2.5275
"ta007",1273,1,40472,21650,1239,21,0,2654359682,3,2.474
"ta008",1211,1,42628,20876,1199,865,0,2763733791,3,2.6155
"ta009",1273,1,42465,17318,1210,48,0,624221854,3,2.621
"ta010",1151,1,43456,20406,1103,408,0,796858854,3,2.3885
"ta011",1622,2,42790,14865,1554,1525,0,1108854896,3,2.58225
"ta012",1721,2,42726,15543,1644,42605,5,4153604223,3,2.7145
"ta013",1558,2,41740,14261,1475,9501,1,2412647209,3,2.469
"ta014",1386,2,41547,17131,1368,8654,1,453286457,3,2.2325
"ta015",1497,2,41489,17388,1408,1066,0,3460286731,3,2.36475
"ta016",1444,2,46806,15631,1372,17002,2,2135012581,3,2.285
"ta017",1506,2,36660,14831,1432,23657,3,1114978128,3,2.34425
"ta018",1593,2,47923,17256,1527,7642,0,1603576151,3,2.4755
"ta019",1621,2,36763,17699,1590,28635,4,1714268825,3,2.5085
"ta020",1648,2,45759,12375,1559,2395,0,3040056558,3,2.632
"ta021",2352,5,38791,8964,2247,6164,1,4169701472,3,2.53412
"ta022",2155,5,35228,12391,2063,30145,10,2176340808,3,2.3465
"ta023",2386,5,35960,13031,2245,34348,11,3678188635,3,2.54038
"ta024",2259,5,40213,19180,2191,2987,0,856561535,3,2.46675
"ta025",2360,5,38854,11805,2255,31049,9,3210669267,3,2.55837
"ta026",2278,5,37870,12166,2168,15782,5,2010378309,3,2.46263
"ta027",2391,5,35619,11271,2224,7382,2,2180302765,3,2.512
"ta028",2286,5,37086,14210,2161,25588,8,2278101182,3,2.46962
"ta029",2353,5,34662,9779,2190,32028,11,316530542,3,2.52513
"ta030",2248,5,38026,11052,2155,20950,6,127890490,3,2.41725
"ta031",2729,4,42178,29124,2724,163,0,3864527004,3,2.4154
"ta032",2848,4,43033,24148,2834,35041,6,3440967169,3,2.6098
"ta033",2628,4,42991,21632,2612,813,0,788420472,3,2.398
