"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"flcmax_30_15_8",5049,7,32373,10668,4756,4165,1,4220276494,3,4.98756
"flcmax_30_15_6",4997,7,32358,10869,4683,28930,8,1115206411,3,4.99711
"flcmax_30_20_3",5578,12,36777,11188,5225,23601,10,3398458131,3,4.82525
"flcmax_30_20_1",5947,12,39726,13860,5555,27944,11,1795417596,3,5.05675
"flcmax_30_20_6",5798,12,39716,15152,5551,38974,15,1620244887,3,5.06392
"flcmax_30_20_10",5741,12,38558,10955,5378,27204,11,1504809038,3,4.96533
"flcmax_30_20_2",5455,12,39947,12288,5281,4132,1,317098587,3,4.9245
"flcmax_40_15_5",6216,15,48013,19114,5925,16157,5,163208283,3,5.13008
"flcmax_40_15_9",5928,14,44662,15385,5596,25632,9,3620702231,3,5.01433
"flcmax_40_15_2",6142,13,47234,14801,5769,43468,15,4112258319,3,5.05292
"flcmax_40_15_10",6037,12,47265,16372,5827,10929,3,997039072,3,5.02675
"flcmax_40_15_8",6306,13,49087,16558,5951,47706,16,3678860235,3,5.18267
"flcmax_40_20_3",6906,23,53664,19127,6394,19474,10,4226107837,3,4.97725
"flcmax_40_20_9",6904,23,54808,19932,6559,34706,18,963656681,3,5.06969
"flcmax_40_20_6",7101,24,56063,22166,6679,54636,28,1916763523,3,5.13438
"flcmax_40_20_7",6965,25,49971,17034,6692,7773,4,1651315600,3,5.08444
"flcmax_40_20_5",6788,24,55313,21095,6422,41965,22,2623364828,3,5.06019
"flcmax_50_15_6",7158,25,51628,17652,6781,29469,14,2835686275,3,4.94647
"flcmax_50_15_5",6897,22,49842,16685,6649,16126,7,53477028,3,4.90007
"flcmax_50_15_1",6764,23,59211,23801,6525,51411,21,1738885928,3,4.8294
"flcmax_50_15_8",7096,24,52681,17130,6789,36307,17,533518964,3,5.11907
"flcmax_50_15_2",7298,23,51747,17104,6954,50202,24,240851220,3,5.18147
"flcmax_50_20_2",8156,41,69313,23132,7548,69285,44,2416719767,3,5.1288
"flcmax_50_20_1",7621,43,64713,22153,7213,14476,10,1713421013,3,4.7729
"flcmax_50_20_7",8000,43,66388,27605,7496,65872,44,79347811,3,4.9788
"flcmax_50_20_8",7789,39,68037,22817,7350,30008,20,3905431336,3,4.9232
"flcmax_50_20_4",8049,40,64998,22596,7631,40723,28,2129138386,3,5.11825
"flcmax_20_15_3",4049,3,19866,7012,3846,19197,3,1620128240,3,5.20783
"flcmax_20_15_6",3876,3,21076,6215,3710,20695,3,3870815666,3,4.96517
"flcmax_20_15_4",3579,3,21304,7361,3430,1943,0,1087520563,3,4.55917
"flcmax_20_15_10",4136,3,20921,6953,3977,8541,1,338597465,3,5.303
"flcmax_20_15_5",4068,3,22445,9459,3854,19721,3,2730588105,3,5.2505
"flcmax_20_20_1",4627,5,24596,8573,4467,18334,5,2878028025,3,4.962
"flcmax_20_20_3",4617,5,24155,9850,4338,21248,6,1500086031,3,5.0215
"flcmax_20_20_9",4566,5,25167,6445,4418,17165,4,4082216021,3,4.95637
"flcmax_20_20_2",4644,5,24183,7828,4372,6160,1,2167272874,3,5.08413
"flcmax_20_20_10",4457,5,25010,9040,4247,655,0,1938482486,3,5.02388
"flcmax_30_15_3",4761,7,31110,11248,4494,9909,3,866006710,3,4.71211
