"name","solution_value","buffer_size"
"ta101",11282,7
"ta101",11341,7
"ta102",11355,7
"ta102",11321,7
"ta103",11406,11
"ta103",11424,13
"ta104",11375,16
"ta104",11376,12
"ta105",11326,7
"ta105",11327,10
"ta106",11334,9
"ta106",11307,10
"ta107",11452,8
"ta107",11457,9
"ta108",11426,9
"ta108",11484,9
"ta109",11339,10
"ta109",11345,7
"ta110",11370,9
"ta110",11384,8
"ta111",26185,17
"ta111",26210,17
"ta112",26739,17
"ta112",26724,15
"ta113",26505,20
"ta113",26496,19
"ta114",26555,14
"ta114",26536,15
"ta115",26409,14
"ta115",26429,15
"ta116",26563,15
"ta116",26570,14
"ta117",26461,16
"ta117",26461,13
"ta118",26627,15
"ta118",26723,16
"ta119",26103,20
"ta119",26131,17
