"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"ta079",6859,2,38834,16646,5886,36101,27,1500342750,3,2.5698
"ta080",6930,2,35422,17746,5848,1518,1,1814132552,3,2.549
"ta081",7840,3,38586,12684,6279,31297,49,1451556539,3,2.46915
"ta082",7591,3,39166,14282,6240,33620,51,3501057740,3,2.4962
"ta083",7755,3,39273,13931,6344,15418,24,3256807883,3,2.48018
"ta084",7885,4,38932,14399,6328,29284,45,1379974377,3,2.4637
"ta085",7729,3,41253,14789,6396,32754,47,4170312002,3,2.48097
"ta086",8072,3,39795,12256,6437,7935,12,934411374,3,2.4825
"ta087",8033,3,42544,15149,6325,26800,38,757516636,3,2.50242
"ta088",8138,3,44141,13879,6484,38096,51,4133198826,3,2.54608
"ta089",7907,3,42663,14215,6349,36360,50,2476740168,3,2.4991
"ta090",8099,3,38951,13749,6483,8533,13,148668705,3,2.5166
"ta091",12193,3,37074,20758,10857,12835,21,2565630711,3,2.5101
"ta092",12796,3,37718,12662,10500,26120,41,3244923881,3,2.48125
"ta093",12556,3,33007,16103,10962,28926,53,2483787073,3,2.52895
"ta094",12198,3,34935,23781,10871,15518,27,2580623906,3,2.50428
"ta095",12110,3,35139,12674,10521,16219,27,4137206660,3,2.49777
"ta096",12116,3,38563,15733,10356,8540,13,2672469114,3,2.43407
"ta097",12848,4,36534,19406,10880,7830,13,1007644680,3,2.55098
"ta098",12294,3,36886,14324,10764,2569,4,4116353294,3,2.52832
"ta099",12010,3,40000,15903,10419,15691,23,1933432543,3,2.48188
"ta100",12274,3,35549,15370,10685,4988,8,1762915487,3,2.50645
"ta101",13576,6,35849,11056,11320,23958,79,3582798139,3,2.44782
"ta102",13628,6,36125,11585,11358,20749,70,1844609356,3,2.50224
"ta103",14152,5,37525,12540,11427,35930,114,198332503,3,2.51273
"ta104",13479,6,36081,11794,11413,35575,118,778126922,3,2.50214
"ta105",13686,6,35875,12419,11337,30693,103,3038462396,3,2.47525
"ta106",13917,5,39240,12206,11292,10254,31,2167122021,3,2.50228
"ta107",13836,6,37022,12633,11486,31800,102,720816928,3,2.51782
"ta108",13855,6,38031,12521,11469,37737,118,1936778823,3,2.49613
"ta109",13409,6,36875,12163,11356,30007,97,2809103880,3,2.49721
"ta110",14101,6,40518,14590,11427,36295,107,2356130688,3,2.49582
"ta111",30121,14,28817,9160,26268,26553,278,2590978081,3,2.48145
"ta112",31202,12,29838,9634,26757,13759,138,359217643,3,2.524
"ta113",30447,14,25164,9941,26615,24771,296,3086962556,3,2.49531
"ta114",30355,15,28062,10351,26606,20397,216,898146274,3,2.50377
"ta115",30099,15,28253,9369,26441,15284,164,3099615605,3,2.49069
"ta116",30946,15,27759,9171,26612,23800,256,663860849,3,2.51715
"ta117",30792,11,23548,8513,26495,21244,270,4120601767,3,2.48488
"ta118",31034,15,24794,8088,26753,24593,297,883037145,3,2.51214
"ta119",30634,15,29324,9354,26241,15174,161,99852536,3,2.4806
"ta120",30148,12,26285,8809,26671,26208,299,932032186,3,2.49758
"ta001",1448,2,45711,34652,1278,757,0,1483368279,3,2.5765
"ta002",1545,1,44277,32102,1358,122,0,3317273540,3,2.598
"ta003",1597,1,46202,19079,1073,1125,0,3030779803,3,2.3025
"ta004",1754,1,46863,21466,1293,1080,0,2571828927,3,2.818
"ta005",1431,1,43126,28657,1235,2596,0,3443241086,3,2.484
"ta006",1616,1,43670,17774,1193,8758,0,2085200015,3,2.5275
"ta007",1528,1,40498,27432,1239,17877,1,1523895429,3,2.474
"ta008",1428,1,43682,21735,1199,30521,2,3595701648,3,2.6155
"ta009",1468,1,44635,18468,1210,691,0,1131601301,3,2.621
"ta010",1404,1,46536,22393,1103,396,0,2906880823,3,2.3885
"ta011",2004,1,41933,16995,1564,9531,1,1728638966,3,2.58225
"ta012",2104,1,46069,16987,1650,6300,0,1328438530,3,2.7145
"ta013",1812,1,46126,15254,1480,12995,1,3647838263,3,2.469
"ta014",1726,1,45223,18490,1368,7551,0,1682504276,3,2.2325
"ta015",1944,1,45011,15555,1395,3733,0,3973915180,3,2.36475
"ta016",1877,1,46724,15295,1369,16693,2,336655606,3,2.285
