"name","solution_value","buffer_size"
"ta047",3113,4
"ta048",3032,4
"ta049",2902,4
"ta050",3078,3
"ta051",3828,3
"ta052",3707,4
"ta053",3659,4
"ta054",3740,3
"ta055",3607,4
"ta056",3698,4
"ta057",3693,5
"ta058",3691,4
"ta059",3729,5
"ta060",3753,3
"ta061",5493,6
"ta062",5257,8
"ta063",5173,8
"ta064",4997,6
"ta065",5247,8
"ta066",5135,8
"ta067",5232,7
"ta068",5087,9
"ta069",5442,9
"ta070",5318,9
"ta071",5784,7
"ta072",5352,8
"ta073",5678,6
"ta074",5803,5
"ta075",5470,5
"ta076",5317,6
"ta077",5604,8
"ta078",5625,5
"ta079",5891,8
"ta080",5845,5
"ta081",6235,4
"ta082",6255,7
"ta083",6324,6
"ta084",6315,14
"ta085",6409,5
"ta086",6442,6
"ta087",6359,5
"ta088",6481,4
"ta089",6322,4
"ta090",6491,6
"ta091",10857,8
"ta092",10504,8
"ta093",10936,9
"ta094",10871,10
"ta095",10499,11
"ta096",10336,9
"ta097",10861,11
"ta098",10755,12
"ta099",10419,11
"ta100",10685,11
"ta101",11322,8
"ta102",11381,6
"ta103",11442,7
"ta104",11368,14
"ta105",11380,9
"ta106",11339,10
"ta107",11463,11
"ta108",11453,9
"ta109",11372,8
"ta110",11443,9
"ta111",26206,12
"ta112",26673,12
"ta113",26580,13
"ta114",26700,15
"ta115",26488,16
"ta116",26621,12
"ta117",26482,13
"ta118",26701,12
